"variable" "activity" "subject" "avgresults"
"fBodyAcc.mean" "SITTING" 3 -0.926683372564103
"fBodyAcc.mean" "SITTING" 4 -0.945009724466667
"fBodyAcc.mean" "SITTING" 5 -0.948316588181818
"fBodyAcc.mean" "SITTING" 6 -0.946471311818182
"fBodyAcc.mean" "SITTING" 7 -0.936287699513889
"fBodyAcc.mean" "SITTING" 8 -0.961599634637681
"fBodyAcc.mean" "SITTING" 9 -0.9210993856
"fBodyAcc.mean" "SITTING" 10 -0.966679332962963
"fBodyAcc.mean" "SITTING" 11 -0.962946582515723
"fBodyAcc.mean" "SITTING" 12 -0.959020263137255
"fBodyAcc.mean" "SITTING" 13 -0.968664152462585
"fBodyAcc.mean" "SITTING" 14 -0.95107581808642
"fBodyAcc.mean" "SITTING" 15 -0.96292434839548
"fBodyAcc.mean" "SITTING" 16 -0.969350914975845
"fBodyAcc.mean" "SITTING" 17 -0.9795796584375
"fBodyAcc.mean" "SITTING" 18 -0.984226630643275
"fBodyAcc.mean" "SITTING" 19 -0.96877876826484
"fBodyAcc.mean" "SITTING" 20 -0.957999713535354
"fBodyAcc.mean" "SITTING" 21 -0.976510172666667
"fBodyAcc.mean" "SITTING" 22 -0.954895562849462
"fBodyAcc.mean" "SITTING" 23 -0.960605748039216
"fBodyAcc.mean" "SITTING" 24 -0.973098162696078
"fBodyAcc.mean" "SITTING" 25 -0.975099629589744
"fBodyAcc.mean" "SITTING" 26 -0.968132702008547
"fBodyAcc.mean" "SITTING" 27 -0.979135260333333
"fBodyAcc.mean" "SITTING" 28 -0.959466193240741
"fBodyAcc.mean" "SITTING" 29 -0.978775498722222
"fBodyAcc.mean" "SITTING" 30 -0.968452972634409
"fBodyAcc.mean" "STANDING" 1 -0.985872626352201
"fBodyAcc.mean" "STANDING" 2 -0.968763210987654
"fBodyAcc.mean" "STANDING" 3 -0.935902166174863
"fBodyAcc.mean" "STANDING" 4 -0.931563391964286
"fBodyAcc.mean" "STANDING" 5 -0.923460358988095
"fBodyAcc.mean" "STANDING" 6 -0.95010025871345
"fBodyAcc.mean" "STANDING" 7 -0.952372045974843
"fBodyAcc.mean" "STANDING" 8 -0.962877299259259
"fBodyAcc.mean" "STANDING" 9 -0.952732999333333
"fBodyAcc.mean" "STANDING" 10 -0.94958364780303
"fBodyAcc.mean" "STANDING" 11 -0.983393636241135
"fBodyAcc.mean" "STANDING" 12 -0.952141116721312
"fBodyAcc.mean" "STANDING" 13 -0.975473628362573
"fBodyAcc.mean" "STANDING" 14 -0.952433279111111
"fBodyAcc.mean" "STANDING" 15 -0.965182434025157
"fBodyAcc.mean" "STANDING" 16 -0.976247063461538
"fBodyAcc.mean" "STANDING" 17 -0.981776559700855
"fBodyAcc.mean" "STANDING" 18 -0.975807289589041
"fBodyAcc.mean" "STANDING" 19 -0.969589424200913
"fBodyAcc.mean" "STANDING" 20 -0.930037588721461
"fBodyAcc.mean" "STANDING" 21 -0.96276557752809
"fBodyAcc.mean" "STANDING" 22 -0.955545696984127
"fBodyAcc.mean" "STANDING" 23 -0.963876530392157
"fBodyAcc.mean" "STANDING" 24 -0.962323797101449
"fBodyAcc.mean" "STANDING" 25 -0.974663541036036
"fBodyAcc.mean" "STANDING" 26 -0.974536948468469
"fBodyAcc.mean" "STANDING" 27 -0.975208066208333
"fBodyAcc.mean" "STANDING" 28 -0.933484407594937
"fBodyAcc.mean" "STANDING" 29 -0.984155278307692
"fBodyAcc.mean" "STANDING" 30 -0.943192982316384
"fBodyAcc.mean" "WALKING" 1 -0.148213899237895
"fBodyAcc.mean" "WALKING" 2 -0.27391978039322
"fBodyAcc.mean" "WALKING" 3 -0.2700968405
"fBodyAcc.mean" "WALKING" 4 -0.402374851313333
"fBodyAcc.mean" "WALKING" 5 -0.256191106857738
"fBodyAcc.mean" "WALKING" 6 -0.181890955178363
"fBodyAcc.mean" "WALKING" 7 -0.122873866942865
"fBodyAcc.mean" "WALKING" 8 -0.0563470711111111
"fBodyAcc.mean" "WALKING" 9 -0.267731679865385
"fBodyAcc.mean" "WALKING" 10 -0.157660510915723
"fBodyAcc.mean" "WALKING" 11 -0.365328161877175
"fBodyAcc.mean" "WALKING" 12 -0.182661798267333
"fBodyAcc.mean" "WALKING" 13 -0.162122187314854
"fBodyAcc.mean" "WALKING" 14 -0.257822150477401
"fBodyAcc.mean" "WALKING" 15 -0.253687320453148
"fBodyAcc.mean" "WALKING" 16 -0.320218049869281
"fBodyAcc.mean" "WALKING" 17 -0.269617079808579
"fBodyAcc.mean" "WALKING" 18 -0.368284159583333
"fBodyAcc.mean" "WALKING" 19 0.0116178837915385
"fBodyAcc.mean" "WALKING" 20 -0.00538406098366013
"fBodyAcc.mean" "WALKING" 21 -0.179986214626282
"fBodyAcc.mean" "WALKING" 22 -0.0697806174188406
"fBodyAcc.mean" "WALKING" 23 -0.0888109372875706
"fBodyAcc.mean" "WALKING" 24 -0.346702185810345
"fBodyAcc.mean" "WALKING" 25 -0.464827466851351
"fBodyAcc.mean" "WALKING" 26 -0.269400450610169
"fBodyAcc.mean" "WALKING" 27 -0.252619503684211
"fBodyAcc.mean" "WALKING" 28 -0.254770699175309
"fBodyAcc.mean" "WALKING" 29 -0.150172859246226
"fBodyAcc.mean" "WALKING" 30 -0.284939485810256
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 1 -0.0619317935689796
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 2 0.0866318100304965
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 3 -0.151441197204082
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 4 -0.23217643957037
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 5 -0.0656933370496454
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 6 0.130159029649306
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 7 -0.0800585673404255
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 8 0.228197578719298
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 9 -0.0612325906296032
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 10 0.022327839672807
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 11 -0.105893406468841
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 12 -0.0760354284978261
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 13 -0.0867641719602837
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 14 0.224490859334815
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 15 0.0476719069880952
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 16 -0.0484887545530496
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 17 -0.156992764063261
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 18 -0.388320255030303
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 19 0.380709681675641
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 20 0.100585958715556
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 21 0.0694967552674074
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 22 0.0327731043703704
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 23 0.193963461108642
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 24 -0.16077745076303
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 25 -0.374907778603448
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 26 -0.0876923198673333
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 27 -0.0737633879628788
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 28 -0.0108825750362319
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 29 -0.0590861072380556
"fBodyAcc.mean" "WALKING_DOWNSTAIRS" 30 -0.128899343057527
"fBodyAcc.mean" "WALKING_UPSTAIRS" 1 -0.342882735679245
"fBodyAcc.mean" "WALKING_UPSTAIRS" 2 -0.179266153551458
"fBodyAcc.mean" "WALKING_UPSTAIRS" 3 -0.325102718537853
"fBodyAcc.mean" "WALKING_UPSTAIRS" 4 -0.31208438485
"fBodyAcc.mean" "WALKING_UPSTAIRS" 5 -0.182021900326241
"fBodyAcc.mean" "WALKING_UPSTAIRS" 6 -0.153506654190196
"fBodyAcc.mean" "WALKING_UPSTAIRS" 7 -0.345083656993464
"fBodyAcc.mean" "WALKING_UPSTAIRS" 8 0.00802354679268293
"fBodyAcc.mean" "WALKING_UPSTAIRS" 9 -0.377489724741497
"fBodyAcc.mean" "WALKING_UPSTAIRS" 10 -0.159895340307801
"fBodyAcc.mean" "WALKING_UPSTAIRS" 11 -0.387245397561728
"fBodyAcc.mean" "WALKING_UPSTAIRS" 12 -0.350210219248077
"fBodyAcc.mean" "WALKING_UPSTAIRS" 13 -0.283634150963636
"fBodyAcc.mean" "WALKING_UPSTAIRS" 14 -0.03847359205
"fBodyAcc.mean" "WALKING_UPSTAIRS" 15 -0.238719786245833
"fBodyAcc.mean" "WALKING_UPSTAIRS" 16 -0.359633622875817
"fBodyAcc.mean" "WALKING_UPSTAIRS" 17 -0.219065150475
"fBodyAcc.mean" "WALKING_UPSTAIRS" 18 -0.450425460517241
"fBodyAcc.mean" "WALKING_UPSTAIRS" 19 -0.0882352679534167
"fBodyAcc.mean" "WALKING_UPSTAIRS" 20 -0.162751280318562
"fBodyAcc.mean" "WALKING_UPSTAIRS" 21 -0.206240816155319
"fBodyAcc.mean" "WALKING_UPSTAIRS" 22 -0.0509110206706349
"fBodyAcc.mean" "WALKING_UPSTAIRS" 23 -0.140053524440523
"fBodyAcc.mean" "WALKING_UPSTAIRS" 24 -0.320331768960452
"fBodyAcc.mean" "WALKING_UPSTAIRS" 25 -0.481577490717949
"fBodyAcc.mean" "WALKING_UPSTAIRS" 26 -0.309283942890909
"fBodyAcc.mean" "WALKING_UPSTAIRS" 27 -0.362060771372549
"fBodyAcc.mean" "WALKING_UPSTAIRS" 28 -0.286141117235948
"fBodyAcc.mean" "WALKING_UPSTAIRS" 29 -0.208764288802041
"fBodyAcc.mean" "WALKING_UPSTAIRS" 30 -0.361912145574359
"fBodyAcc.std" "LAYING" 1 -0.856984850046667
"fBodyAcc.std" "LAYING" 2 -0.979687924236111
"fBodyAcc.std" "LAYING" 3 -0.970354937795699
"fBodyAcc.std" "LAYING" 4 -0.953666768950617
"fBodyAcc.std" "LAYING" 5 -0.967915090512821
"fBodyAcc.std" "LAYING" 6 -0.92872630327076
"fBodyAcc.std" "LAYING" 7 -0.935806376410256
"fBodyAcc.std" "LAYING" 8 -0.934169517604938
"fBodyAcc.std" "LAYING" 9 -0.9319296472
"fBodyAcc.std" "LAYING" 10 -0.958003618229885
"fBodyAcc.std" "LAYING" 11 -0.97685985877193
"fBodyAcc.std" "LAYING" 12 -0.951409505333333
"fBodyAcc.std" "LAYING" 13 -0.953424850806452
"fBodyAcc.std" "LAYING" 14 -0.903749805098039
"fBodyAcc.std" "LAYING" 15 -0.953411082222222
"fBodyAcc.std" "LAYING" 16 -0.957005694857143
"fBodyAcc.std" "LAYING" 17 -0.955115699248826
"fBodyAcc.std" "LAYING" 18 -0.986097704461538
"fBodyAcc.std" "LAYING" 19 -0.97388602502008
"fBodyAcc.std" "LAYING" 20 -0.965953406764706
"fBodyAcc.std" "LAYING" 21 -0.949702476296296
"fBodyAcc.std" "LAYING" 22 -0.933127872037037
"fBodyAcc.std" "LAYING" 23 -0.966325463287037
"fBodyAcc.std" "LAYING" 24 -0.974265557361111
"fBodyAcc.std" "LAYING" 25 -0.756344112058904
"fBodyAcc.std" "LAYING" 26 -0.978714487763158
"fBodyAcc.std" "LAYING" 27 -0.982822392837838
"fBodyAcc.std" "LAYING" 28 -0.955366582166667
"fBodyAcc.std" "LAYING" 29 -0.98683049352657
"fBodyAcc.std" "LAYING" 30 -0.965930619714286
"fBodyAcc.std" "SITTING" 1 -0.942718959219858
"fBodyAcc.std" "SITTING" 2 -0.964766236086957
"fBodyAcc.std" "SITTING" 3 -0.895194666666667
"fBodyAcc.std" "SITTING" 4 -0.932791618466667
"fBodyAcc.std" "SITTING" 5 -0.9355752942
"fBodyAcc.std" "SITTING" 6 -0.944632238787879
"fBodyAcc.std" "SITTING" 7 -0.907197404930556
"fBodyAcc.std" "SITTING" 8 -0.945325515507246
"fBodyAcc.std" "SITTING" 9 -0.880839633761333
"fBodyAcc.std" "SITTING" 10 -0.953733844462963
"fBodyAcc.std" "SITTING" 11 -0.957107120943396
"fBodyAcc.std" "SITTING" 12 -0.948650137124183
"fBodyAcc.std" "SITTING" 13 -0.952422030836735
"fBodyAcc.std" "SITTING" 14 -0.935190806783951
"fBodyAcc.std" "SITTING" 15 -0.95075073079096
"fBodyAcc.std" "SITTING" 16 -0.957124608454106
"fBodyAcc.std" "SITTING" 17 -0.972455842916667
"fBodyAcc.std" "SITTING" 18 -0.981869585263158
"fBodyAcc.std" "SITTING" 19 -0.956924082420091
"fBodyAcc.std" "SITTING" 20 -0.94798575040404
"fBodyAcc.std" "SITTING" 21 -0.972116341490196
"fBodyAcc.std" "SITTING" 22 -0.938320916430108
"fBodyAcc.std" "SITTING" 23 -0.93841733645098
"fBodyAcc.std" "SITTING" 24 -0.966833569460784
"fBodyAcc.std" "SITTING" 25 -0.966352629076923
"fBodyAcc.std" "SITTING" 26 -0.953773352008547
"fBodyAcc.std" "SITTING" 27 -0.974381977238095
"fBodyAcc.std" "SITTING" 28 -0.952629221481481
"fBodyAcc.std" "SITTING" 29 -0.972704148222222
"fBodyAcc.std" "SITTING" 30 -0.954475802258064
"fBodyAcc.std" "STANDING" 1 -0.982086235597484
"fBodyAcc.std" "STANDING" 2 -0.964466298518519
"fBodyAcc.std" "STANDING" 3 -0.922388963497268
"fBodyAcc.std" "STANDING" 4 -0.907890745720238
"fBodyAcc.std" "STANDING" 5 -0.898944324875
"fBodyAcc.std" "STANDING" 6 -0.942527903099415
"fBodyAcc.std" "STANDING" 7 -0.93733963427673
"fBodyAcc.std" "STANDING" 8 -0.948386812098765
"fBodyAcc.std" "STANDING" 9 -0.943422032518519
"fBodyAcc.std" "STANDING" 10 -0.94763613530303
"fBodyAcc.std" "STANDING" 11 -0.981679690141844
"fBodyAcc.std" "STANDING" 12 -0.940229473169399
"fBodyAcc.std" "STANDING" 13 -0.967681866432749
"fBodyAcc.std" "STANDING" 14 -0.939147771777778
"fBodyAcc.std" "STANDING" 15 -0.956084439119497
"fBodyAcc.std" "STANDING" 16 -0.965271732606838
"fBodyAcc.std" "STANDING" 17 -0.974914951025641
"fBodyAcc.std" "STANDING" 18 -0.967639080410959
"fBodyAcc.std" "STANDING" 19 -0.960703129360731
"fBodyAcc.std" "STANDING" 20 -0.917775816210046
"fBodyAcc.std" "STANDING" 21 -0.956298967490637
"fBodyAcc.std" "STANDING" 22 -0.949822583121693
"fBodyAcc.std" "STANDING" 23 -0.956828631960784
"fBodyAcc.std" "STANDING" 24 -0.949036370821256
"fBodyAcc.std" "STANDING" 25 -0.969718270990991
"fBodyAcc.std" "STANDING" 26 -0.967186627117117
"fBodyAcc.std" "STANDING" 27 -0.968727408583333
"fBodyAcc.std" "STANDING" 28 -0.917445852151899
"fBodyAcc.std" "STANDING" 29 -0.981228699025641
"fBodyAcc.std" "STANDING" 30 -0.924428716836158
"fBodyAcc.std" "WALKING" 1 -0.180927154742561
"fBodyAcc.std" "WALKING" 2 -0.36069773879096
"fBodyAcc.std" "WALKING" 3 -0.308768695724713
"fBodyAcc.std" "WALKING" 4 -0.381077568632833
"fBodyAcc.std" "WALKING" 5 -0.245991543144643
"fBodyAcc.std" "WALKING" 6 -0.26466755652848
"fBodyAcc.std" "WALKING" 7 -0.110813301081345
"fBodyAcc.std" "WALKING" 8 0.00600691014027778
"fBodyAcc.std" "WALKING" 9 -0.158596353892179
"fBodyAcc.std" "WALKING" 10 -0.257148806401258
"fBodyAcc.std" "WALKING" 11 -0.351134511659322
"fBodyAcc.std" "WALKING" 12 -0.273789745031333
"fBodyAcc.std" "WALKING" 13 -0.176999783697661
"fBodyAcc.std" "WALKING" 14 -0.121547256429322
"fBodyAcc.std" "WALKING" 15 -0.262994139315741
"fBodyAcc.std" "WALKING" 16 -0.314647494869281
"fBodyAcc.std" "WALKING" 17 -0.207603887367213
"fBodyAcc.std" "WALKING" 18 -0.361734473988095
"fBodyAcc.std" "WALKING" 19 -0.0597131105916667
"fBodyAcc.std" "WALKING" 20 -0.0210156765947712
"fBodyAcc.std" "WALKING" 21 -0.158690384978205
"fBodyAcc.std" "WALKING" 22 -0.0751264595246377
"fBodyAcc.std" "WALKING" 23 -0.138729300365537
"fBodyAcc.std" "WALKING" 24 -0.320049011482759
"fBodyAcc.std" "WALKING" 25 -0.397462782562613
"fBodyAcc.std" "WALKING" 26 -0.306056360096045
"fBodyAcc.std" "WALKING" 27 -0.326171038888889
"fBodyAcc.std" "WALKING" 28 -0.264555879538272
"fBodyAcc.std" "WALKING" 29 -0.218590872471698
"fBodyAcc.std" "WALKING" 30 -0.217902396538462
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 1 -0.128853598502721
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 2 0.00868189950992908
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 3 -0.18829570254966
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 4 -0.265405264859259
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 5 0.00332795406312057
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 6 0.0935344312638889
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 7 -0.0724325180141844
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 8 0.075876412018421
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 9 -0.0193407063293651
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 10 -0.00235406628596491
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 11 -0.0474806996731884
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 12 -0.140768636557971
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 13 -0.13126773830695
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 14 0.245093447187778
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 15 0.0763039085809524
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 16 0.00648776007886525
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 17 -0.0241748670695652
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 18 -0.325864226484848
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 19 0.336023941470085
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 20 0.153102670442815
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 21 0.133266789388148
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 22 0.0623529992314815
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 23 0.0365754060917901
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 24 -0.165217854863152
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 25 -0.276445563881034
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 26 -0.0660494839213333
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 27 -0.0946083500151515
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 28 -0.0712806667911594
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 29 -0.104661223805556
"fBodyAcc.std" "WALKING_DOWNSTAIRS" 30 -0.130462447607097
"fBodyAcc.std" "WALKING_UPSTAIRS" 1 -0.0765673745459119
"fBodyAcc.std" "WALKING_UPSTAIRS" 2 -0.110082370565972
"fBodyAcc.std" "WALKING_UPSTAIRS" 3 -0.214723375206215
"fBodyAcc.std" "WALKING_UPSTAIRS" 4 -0.206587160915705
"fBodyAcc.std" "WALKING_UPSTAIRS" 5 -0.042985741529078
"fBodyAcc.std" "WALKING_UPSTAIRS" 6 -0.0759613233353595
"fBodyAcc.std" "WALKING_UPSTAIRS" 7 -0.2486026362
"fBodyAcc.std" "WALKING_UPSTAIRS" 8 0.087960887802439
"fBodyAcc.std" "WALKING_UPSTAIRS" 9 -0.303846216134694
"fBodyAcc.std" "WALKING_UPSTAIRS" 10 -0.0859401808256738
"fBodyAcc.std" "WALKING_UPSTAIRS" 11 -0.13364674678642
"fBodyAcc.std" "WALKING_UPSTAIRS" 12 -0.275901766407051
"fBodyAcc.std" "WALKING_UPSTAIRS" 13 -0.112088936899818
"fBodyAcc.std" "WALKING_UPSTAIRS" 14 0.246072229259259
"fBodyAcc.std" "WALKING_UPSTAIRS" 15 -0.125705208063889
"fBodyAcc.std" "WALKING_UPSTAIRS" 16 -0.210173871081046
"fBodyAcc.std" "WALKING_UPSTAIRS" 17 -0.0885440004645833
"fBodyAcc.std" "WALKING_UPSTAIRS" 18 -0.270253956494253
"fBodyAcc.std" "WALKING_UPSTAIRS" 19 -0.07578596319375
"fBodyAcc.std" "WALKING_UPSTAIRS" 20 -0.0621123248542484
"fBodyAcc.std" "WALKING_UPSTAIRS" 21 -0.119334930992199
"fBodyAcc.std" "WALKING_UPSTAIRS" 22 0.0817847486992063
"fBodyAcc.std" "WALKING_UPSTAIRS" 23 -0.0305803505701307
"fBodyAcc.std" "WALKING_UPSTAIRS" 24 -0.239032225256497
"fBodyAcc.std" "WALKING_UPSTAIRS" 25 -0.291753652266667
"fBodyAcc.std" "WALKING_UPSTAIRS" 26 -0.195897800701212
"fBodyAcc.std" "WALKING_UPSTAIRS" 27 -0.176749639653595
"fBodyAcc.std" "WALKING_UPSTAIRS" 28 -0.231322261548366
"fBodyAcc.std" "WALKING_UPSTAIRS" 29 -0.00575425347027211
"fBodyAcc.std" "WALKING_UPSTAIRS" 30 -0.103037374517128
"fBodyAccJerk.mean" "LAYING" 1 -0.942532465933333
"fBodyAccJerk.mean" "LAYING" 2 -0.984926338611111
"fBodyAccJerk.mean" "LAYING" 3 -0.976129220107527
"fBodyAccJerk.mean" "LAYING" 4 -0.965965258024691
"fBodyAccJerk.mean" "LAYING" 5 -0.977089510897436
"fBodyAccJerk.mean" "LAYING" 6 -0.952513900584795
"fBodyAccJerk.mean" "LAYING" 7 -0.974149891153846
"fBodyAccJerk.mean" "LAYING" 8 -0.970366390061728
"fBodyAccJerk.mean" "LAYING" 9 -0.961432028733333
"fBodyAccJerk.mean" "LAYING" 10 -0.97321535183908
"fBodyAccJerk.mean" "LAYING" 11 -0.979444071754386
"fBodyAccJerk.mean" "LAYING" 12 -0.966371928666667
"fBodyAccJerk.mean" "LAYING" 13 -0.982189807903226
"fBodyAccJerk.mean" "LAYING" 14 -0.969982009738562
"fBodyAccJerk.mean" "LAYING" 15 -0.975646301481481
"fBodyAccJerk.mean" "LAYING" 16 -0.986292639571429
"fBodyAccJerk.mean" "LAYING" 17 -0.979688172018779
"fBodyAccJerk.mean" "LAYING" 18 -0.987128966820513
"fBodyAccJerk.mean" "LAYING" 19 -0.981621107188755
"fBodyAccJerk.mean" "LAYING" 20 -0.981328968235294
"fBodyAccJerk.mean" "LAYING" 21 -0.979286354555556
"fBodyAccJerk.mean" "LAYING" 22 -0.965107510972222
"fBodyAccJerk.mean" "LAYING" 23 -0.985616811712963
"fBodyAccJerk.mean" "LAYING" 24 -0.983229616759259
"fBodyAccJerk.mean" "LAYING" 25 -0.960764587945205
"fBodyAccJerk.mean" "LAYING" 26 -0.987882458991228
"fBodyAccJerk.mean" "LAYING" 27 -0.98665665963964
"fBodyAccJerk.mean" "LAYING" 28 -0.97611993725
"fBodyAccJerk.mean" "LAYING" 29 -0.991190417922705
"fBodyAccJerk.mean" "LAYING" 30 -0.974738867285714
"fBodyAccJerk.mean" "SITTING" 1 -0.984743193971631
"fBodyAccJerk.mean" "SITTING" 2 -0.98337251557971
"fBodyAccJerk.mean" "SITTING" 3 -0.96665539474359
"fBodyAccJerk.mean" "SITTING" 4 -0.965433003
"fBodyAccJerk.mean" "SITTING" 5 -0.966587923863636
"fBodyAccJerk.mean" "SITTING" 6 -0.957436028909091
"fBodyAccJerk.mean" "SITTING" 7 -0.973321453888889
"fBodyAccJerk.mean" "SITTING" 8 -0.982731228768116
"fBodyAccJerk.mean" "SITTING" 9 -0.960376868466667
"fBodyAccJerk.mean" "SITTING" 10 -0.985461545925926
"fBodyAccJerk.mean" "SITTING" 11 -0.976470409811321
"fBodyAccJerk.mean" "SITTING" 12 -0.972299214183007
"fBodyAccJerk.mean" "SITTING" 13 -0.987284506394558
"fBodyAccJerk.mean" "SITTING" 14 -0.974423462962963
"fBodyAccJerk.mean" "SITTING" 15 -0.983724511242938
"fBodyAccJerk.mean" "SITTING" 16 -0.984631485169082
"fBodyAccJerk.mean" "SITTING" 17 -0.990566035364583
"fBodyAccJerk.mean" "SITTING" 18 -0.988085590994152
"fBodyAccJerk.mean" "SITTING" 19 -0.983299213926941
"fBodyAccJerk.mean" "SITTING" 20 -0.975537783989899
"fBodyAccJerk.mean" "SITTING" 21 -0.984124649529412
"fBodyAccJerk.mean" "SITTING" 22 -0.973134899086021
"fBodyAccJerk.mean" "SITTING" 23 -0.978447769264706
"fBodyAccJerk.mean" "SITTING" 24 -0.983352313921569
"fBodyAccJerk.mean" "SITTING" 25 -0.987254081846154
"fBodyAccJerk.mean" "SITTING" 26 -0.988626098931624
"fBodyAccJerk.mean" "SITTING" 27 -0.987721970761905
"fBodyAccJerk.mean" "SITTING" 28 -0.97096186787037
"fBodyAccJerk.mean" "SITTING" 29 -0.988599731388889
"fBodyAccJerk.mean" "SITTING" 30 -0.985053156344086
"fBodyAccJerk.mean" "STANDING" 1 -0.990267222641509
"fBodyAccJerk.mean" "STANDING" 2 -0.977199910555556
"fBodyAccJerk.mean" "STANDING" 3 -0.956779911256831
"fBodyAccJerk.mean" "STANDING" 4 -0.959527849345238
"fBodyAccJerk.mean" "STANDING" 5 -0.950956056845238
"fBodyAccJerk.mean" "STANDING" 6 -0.962876507251462
